rank,word,len,partOfSpeech,frequency,dispersion
898,cell,4,n,44831,0.94
899,establish,9,v,45921,0.91
900,nice,4,j,44792,0.93
901,trial,5,n,44489,0.94
902,expert,6,n,43898,0.95
903,that,4,r,43359,0.96
904,spring,6,n,44085,0.95
905,firm,4,n,44704,0.93
906,Democrat,8,n,46905,0.88
907,radio,5,n,43156,0.96
908,visit,5,v,42941,0.96
909,management,10,n,45112,0.92
910,care,4,v,42978,0.96
911,avoid,5,v,42890,0.96
912,imagine,7,v,43487,0.95
913,tonight,7,r,47549,0.87
914,huge,4,j,42582,0.96
915,ball,4,n,43512,0.94
916,no,2,u,44951,0.91
917,close,5,r,42826,0.95
918,finish,6,v,43143,0.95
919,yourself,8,p,43401,0.94
920,talk,4,n,43267,0.94
921,theory,6,n,45553,0.9
922,impact,6,n,43782,0.93
923,respond,7,v,42139,0.96
924,statement,9,n,42941,0.94
925,maintain,8,v,43493,0.93
926,charge,6,n,42353,0.95
927,popular,7,j,42399,0.95
928,traditional,11,j,43681,0.92
929,onto,4,i,43538,0.92
930,reveal,6,v,42605,0.94
931,direction,9,n,41280,0.97
932,weapon,6,n,43158,0.93
933,employee,8,n,42824,0.93
934,cultural,8,j,45673,0.87
935,contain,7,v,42542,0.94
936,peace,5,n,42273,0.94
937,head,4,v,41658,0.95
938,control,7,v,41771,0.95
939,base,4,n,41154,0.96
940,pain,4,n,41350,0.96
941,apply,5,v,42391,0.93
942,play,4,n,41662,0.95
943,measure,7,n,43938,0.9
944,wide,4,j,41233,0.96
945,shake,5,v,45160,0.87
946,fly,3,v,41373,0.95
947,interview,9,n,41594,0.95
948,manage,6,v,40536,0.97
949,chair,5,n,43256,0.91
950,fish,4,n,41488,0.95
951,particular,10,j,42291,0.93
952,camera,6,n,41218,0.95
953,structure,9,n,43638,0.9
954,politics,8,n,41758,0.94
955,perform,7,v,41667,0.94
956,bit,3,n,41915,0.93
957,weight,6,n,41919,0.93
958,suddenly,8,r,43382,0.9
959,discover,8,v,40489,0.97
960,candidate,9,n,43251,0.9
961,top,3,j,41484,0.94
962,production,10,n,42052,0.93
963,treat,5,v,40264,0.97
964,trip,4,n,40423,0.96
965,evening,7,n,40881,0.95
966,affect,6,v,41496,0.93
967,inside,6,i,40856,0.95
968,conference,10,n,40643,0.95
969,unit,4,n,41087,0.94
970,best,4,r,39959,0.97
971,style,5,n,40889,0.94
972,adult,5,n,40705,0.95
973,worry,5,v,40210,0.96
974,range,5,n,41326,0.93
975,mention,7,v,39815,0.97
976,rather,6,i,41558,0.93
977,far,3,j,39967,0.96
978,deep,4,j,40126,0.96
979,past,4,n,39559,0.97
980,edge,4,n,40960,0.94
981,individual,10,j,42325,0.9
982,specific,8,j,42397,0.9
983,writer,6,n,39666,0.96
984,trouble,7,n,39659,0.96
985,necessary,9,j,40776,0.93
986,throughout,10,i,40170,0.95
987,challenge,9,n,40380,0.94
988,fear,4,n,38857,0.98
989,shoulder,8,n,42843,0.89
990,institution,11,n,42153,0.9
991,middle,6,j,40402,0.94
992,sea,3,n,39516,0.96
993,dream,5,n,39613,0.96
994,bar,3,n,39853,0.95
995,beautiful,9,j,40052,0.94
996,property,8,n,40027,0.94
997,instead,7,r,39051,0.97
998,improve,7,v,40214,0.94
999,stuff,5,n,40180,0.94
1000,detail,6,n,38750,0.97
1001,method,6,n,42667,0.88
1002,sign,4,v,39418,0.95
1003,somebody,8,p,41639,0.9
1004,magazine,8,n,39197,0.96
1005,hotel,5,n,39642,0.95
1006,soldier,7,n,39552,0.95
1007,reflect,7,v,40687,0.92
1008,heavy,5,j,39160,0.96
1009,sexual,6,j,41865,0.89
1010,cause,5,n,38843,0.96
1011,bag,3,n,40007,0.93
1012,heat,4,n,40363,0.92
1013,fall,4,n,38822,0.96
1014,marriage,8,n,38517,0.96
1015,tough,5,j,39600,0.94
1016,sing,4,v,38575,0.96
1017,surface,7,n,39367,0.94
1018,purpose,7,n,40084,0.92
1019,exist,5,v,39341,0.94
1020,pattern,7,n,40397,0.91
1021,whom,4,p,37950,0.97
1022,skin,4,n,39893,0.92
1023,agent,5,n,38265,0.96
1024,owner,5,n,39492,0.93
1025,machine,7,n,38407,0.96
1026,gas,3,n,38194,0.96
1027,down,4,i,39633,0.93
1028,ahead,5,r,39705,0.92
1029,generation,10,n,38323,0.96
1030,commercial,10,j,40608,0.9
1031,address,7,v,39774,0.92
1032,cancer,6,n,39407,0.93
1033,test,4,v,38644,0.95
1034,item,4,n,40336,0.91
1035,reality,7,n,38397,0.95
1036,coach,5,n,40716,0.9
1037,step,4,v,39356,0.93
1038,Mrs,3,n,40545,0.9
1039,yard,4,n,39253,0.93
1040,beat,4,v,38268,0.95
1041,violence,8,n,38474,0.94
1042,total,5,j,38798,0.93
1043,tend,4,v,38295,0.94
1044,investment,10,n,38810,0.93
1045,discussion,10,n,39616,0.91
1046,finger,6,n,40842,0.88
1047,garden,6,n,38800,0.93
1048,notice,6,v,38910,0.92
1049,collection,10,n,38431,0.93
1050,modern,6,j,38372,0.93
1051,task,4,n,39209,0.91
1052,partner,7,n,37540,0.95
1053,positive,8,j,39310,0.91
1054,civil,5,j,37742,0.95
1055,kitchen,7,n,39332,0.91
1056,consumer,8,n,38079,0.94
1057,shot,4,n,37505,0.95
1058,budget,6,n,39165,0.91
1059,wish,4,v,37532,0.95
1060,painting,8,n,39264,0.91
1061,scientist,9,n,37700,0.94
1062,safe,4,j,36547,0.97
1063,agreement,9,n,38141,0.93
1064,capital,7,n,37443,0.95
1065,mouth,5,n,40200,0.88
1066,nor,3,c,37230,0.95
1067,victim,6,n,36878,0.96
1068,newspaper,9,n,37522,0.94
1069,instead,7,i,36247,0.97
1070,threat,6,n,37022,0.95
1071,responsibility,14,n,37084,0.95
1072,smile,5,v,41473,0.85
1073,attorney,8,n,37959,0.92
1074,score,5,n,39294,0.89
1075,account,7,n,36786,0.95
1076,interesting,11,j,37473,0.93
1077,break,5,n,40348,0.86
1078,audience,8,n,36227,0.96
1079,rich,4,j,35940,0.97
1080,dinner,6,n,37156,0.94
1081,figure,6,v,36137,0.96
1082,vote,4,n,39464,0.88
1083,western,7,j,37389,0.93
1084,relate,6,v,39143,0.89
1085,travel,6,v,35746,0.97
1086,debate,6,n,37228,0.93
1087,prevent,7,v,36421,0.95
1088,citizen,7,n,36408,0.95
1089,majority,8,n,36758,0.94
1090,none,4,p,35359,0.98
1091,front,5,i,37363,0.92
1092,born,4,v,35352,0.97
1093,admit,5,v,35143,0.97
1094,senior,6,j,36598,0.93
1095,assume,6,v,35960,0.95
1096,wind,4,n,36478,0.94
1097,key,3,j,36056,0.95
1098,professional,12,j,36319,0.93
1099,mission,7,n,35217,0.96
1100,fast,4,r,35474,0.95
1101,alone,5,r,34982,0.96
1102,customer,8,n,36000,0.94
1103,suffer,6,v,34675,0.97
1104,speech,6,n,35504,0.95
1105,successful,10,j,35459,0.95
1106,option,6,n,35434,0.95
1107,participant,11,n,41462,0.81
1108,southern,8,j,35314,0.95
1109,fresh,5,j,35974,0.93
1110,eventually,10,r,34534,0.97
1111,no,2,p,35016,0.96
1112,forest,6,n,35429,0.94
1113,video,5,n,35230,0.95
1114,global,6,j,36381,0.92
1115,Senate,6,n,36809,0.91
1116,reform,6,n,36103,0.92
1117,access,6,n,35310,0.94
1118,restaurant,10,n,35898,0.93
1119,judge,5,n,35464,0.94
1120,publish,7,v,35062,0.95
1121,cost,4,v,34941,0.95
1122,relation,8,n,36963,0.89
1123,like,4,c,35636,0.93
1124,release,7,v,34301,0.96
1125,own,3,v,34577,0.95
1126,bird,4,n,34835,0.94
1127,opinion,7,n,34501,0.95
1128,credit,6,n,34578,0.95
1129,critical,8,j,35824,0.92
1130,corner,6,n,35496,0.93
1131,concerned,9,j,34331,0.96
1132,recall,6,v,34442,0.95
1133,version,7,n,34456,0.95
1134,stare,5,v,39266,0.83
1135,safety,6,n,34188,0.96
1136,effective,9,j,35851,0.91
1137,neighborhood,12,n,34691,0.94
1138,original,8,j,34368,0.95
1139,act,3,n,34104,0.96
1140,troop,5,n,36001,0.91
1141,income,6,n,34925,0.93
1142,directly,8,r,34090,0.96
1143,hurt,4,v,34445,0.94
1144,species,7,n,35804,0.91
1145,immediately,11,r,33067,0.98
1146,track,5,n,33788,0.96
1147,basic,5,j,34788,0.93
1148,strike,6,v,33238,0.97
1149,hope,4,n,33019,0.98
1150,sky,3,n,35141,0.92
1151,freedom,7,n,34174,0.94
1152,absolutely,10,r,36740,0.88
1153,plane,5,n,33900,0.95
1154,nobody,6,p,34280,0.94
1155,achieve,7,v,35166,0.92
1156,object,6,n,35040,0.92
1157,attitude,8,n,35437,0.91
1158,labor,5,n,34400,0.93
1159,refer,5,v,34317,0.94
1160,concept,7,n,35944,0.89
1161,client,6,n,34027,0.94
1162,powerful,8,j,33151,0.97
1163,perfect,7,j,33456,0.96
1164,nine,4,m,32967,0.97
1165,therefore,9,r,35842,0.89
1166,conduct,7,v,34909,0.91
1167,announce,8,v,33305,0.96
1168,conversation,12,n,33046,0.96
1169,examine,7,v,35826,0.89
1170,touch,5,v,34737,0.92
1171,please,6,r,34709,0.92
1172,attend,6,v,33380,0.95
1173,completely,10,r,32550,0.98
1174,vote,4,v,35224,0.9
1175,variety,7,n,34242,0.93
1176,sleep,5,v,34801,0.91
1177,turn,4,n,32944,0.96
1178,involved,8,j,33428,0.95
1179,investigation,13,n,33849,0.94
1180,nuclear,7,j,34264,0.92
1181,researcher,10,n,34742,0.91
1182,press,5,n,33410,0.94
1183,conflict,8,n,34710,0.91
1184,spirit,6,n,32942,0.96
1185,experience,10,v,34009,0.92
1186,replace,7,v,32688,0.96
1187,British,7,j,32929,0.95
1188,encourage,9,v,33348,0.94
1189,argument,8,n,33394,0.94
1190,by,2,r,32560,0.96
1191,once,4,c,32180,0.97
1192,camp,4,n,32659,0.95
1193,brain,5,n,32852,0.95
1194,feature,7,n,33344,0.93
1195,afternoon,9,n,33202,0.94
1196,AM,2,r,34451,0.9
1197,weekend,7,n,33239,0.93
1198,dozen,5,m,32432,0.96
1199,possibility,11,n,32466,0.95
1200,along,5,r,32475,0.95
1201,insurance,9,n,32928,0.94
1202,department,10,n,32252,0.96
1203,battle,6,n,31989,0.96
1204,beginning,9,n,31866,0.97
1205,date,4,n,31467,0.98
1206,generally,9,r,33191,0.93
1207,African,7,j,34557,0.89
1208,very,4,j,31807,0.96
1209,sorry,5,j,34270,0.89
1210,crisis,6,n,32924,0.93
1211,complete,8,v,32813,0.93
1212,fan,3,n,32919,0.93
1213,stick,5,v,32259,0.94
1214,define,6,v,33958,0.9
1215,easily,6,r,31755,0.96
1216,through,7,r,31838,0.96
1217,hole,4,n,32302,0.94
1218,element,7,n,33053,0.92
1219,vision,6,n,32358,0.94
1220,status,6,n,33511,0.91
1221,normal,6,j,31265,0.97
1222,Chinese,7,j,32334,0.94
1223,ship,4,n,32588,0.93
1224,solution,8,n,32052,0.94
1225,stone,5,n,32531,0.93
1226,slowly,6,r,33403,0.9
1227,scale,5,n,34375,0.88
1228,bit,3,r,32087,0.94
1229,university,10,n,33000,0.91
1230,introduce,9,v,31345,0.96
1231,driver,6,n,31633,0.95
1232,attempt,7,n,31944,0.94
1233,park,4,n,32322,0.93
1234,spot,4,n,31612,0.95
1235,lack,4,n,32157,0.93
1236,ice,3,n,31686,0.95
1237,boat,4,n,32079,0.93
1238,drink,5,v,32078,0.93
1239,sun,3,n,32646,0.92
1240,front,5,j,32087,0.93
1241,distance,8,n,31380,0.95
1242,wood,4,n,31801,0.93
1243,handle,6,v,30634,0.97
1244,truck,5,n,31536,0.94
1245,return,6,n,31058,0.95
1246,mountain,8,n,31322,0.94
1247,survey,6,n,32784,0.9
1248,supposed,8,j,31005,0.95
1249,tradition,9,n,32110,0.92
1250,winter,6,n,31227,0.95
1251,village,7,n,30741,0.96
1252,Soviet,6,j,36193,0.82
1253,refuse,6,v,30173,0.98
1254,sales,5,n,32145,0.91
1255,roll,4,v,31592,0.93
1256,communication,13,n,31577,0.93
1257,run,3,n,31325,0.94
1258,screen,6,n,30758,0.95
1259,gain,4,v,30667,0.95
1260,resident,8,n,31836,0.92
1261,hide,4,v,31098,0.94
1262,gold,4,n,30733,0.95
1263,club,4,n,30800,0.95
1264,future,6,j,31494,0.92
1265,farm,4,n,30291,0.96
1266,potential,9,j,31289,0.93
1267,increase,8,n,31247,0.93
1268,middle,6,n,30199,0.96
1269,European,8,j,31455,0.92
1270,presence,8,n,30624,0.95
1271,independent,11,j,31044,0.93
1272,district,8,n,31327,0.92
1273,shape,5,n,30396,0.95
1274,reader,6,n,31442,0.92
1275,Ms,2,n,31610,0.91
1276,contract,8,n,30906,0.93
1277,crowd,5,n,30542,0.94
1278,Christian,9,j,30726,0.94
1279,express,7,v,30947,0.93
1280,apartment,9,n,31012,0.93
1281,willing,7,j,29635,0.97
1282,strength,8,n,29769,0.96
1283,previous,8,j,30490,0.94
1284,band,4,n,29769,0.96
1285,obviously,9,r,31299,0.91
1286,horse,5,n,30993,0.92
1287,interested,10,j,29155,0.98
1288,target,6,n,29866,0.96
1289,prison,6,n,30248,0.94
1290,ride,4,v,30476,0.94
1291,guard,5,n,30159,0.94
1292,terms,5,i,30996,0.92
1293,demand,6,n,30519,0.93
1294,reporter,8,n,30416,0.93
1295,deliver,7,v,29169,0.97
1296,text,4,n,32316,0.88
1297,share,5,n,30752,0.92
1298,tool,4,n,30286,0.93
1299,wild,4,j,29473,0.96
1300,vehicle,7,n,29421,0.96
1301,observe,7,v,30737,0.92
1302,flight,6,n,29535,0.95
1303,inside,6,r,30715,0.91
1304,facility,8,n,30107,0.93
1305,understanding,13,n,31319,0.89
1306,average,7,j,29717,0.94
1307,emerge,6,v,29496,0.95
1308,advantage,9,n,29340,0.95
1309,quick,5,j,29108,0.96
1310,light,5,j,29731,0.94
1311,leadership,10,n,30047,0.93
1312,earn,4,v,29560,0.94
1313,pound,5,n,29946,0.93
1314,basis,5,n,30377,0.92
1315,bright,6,j,29780,0.93
1316,operate,7,v,29345,0.95
1317,guest,5,n,29328,0.95
1318,sample,6,n,32436,0.86
1319,contribute,10,v,30090,0.92
1320,tiny,4,j,29756,0.93
1321,block,5,n,28826,0.96
1322,protection,10,n,29336,0.94
1323,settle,6,v,28827,0.96
1324,feed,4,v,28494,0.97
1325,collect,7,v,28946,0.95
1326,additional,10,j,29771,0.93
1327,while,5,n,29579,0.93
1328,highly,6,r,29554,0.93
1329,identity,8,n,31163,0.88
1330,title,5,n,29210,0.94
1331,mostly,6,r,28178,0.97
1332,lesson,6,n,28623,0.96
1333,faith,5,n,28710,0.95
1334,river,5,n,28862,0.95
1335,promote,7,v,29679,0.92
1336,living,6,n,28736,0.95
1337,present,7,j,30645,0.89
1338,count,5,v,28836,0.95
1339,unless,6,c,27908,0.98
1340,marry,5,v,28722,0.95
1341,tomorrow,8,r,30098,0.91
1342,technique,9,n,29828,0.91
1343,path,4,n,28344,0.96
1344,ear,3,n,29597,0.92
1345,shop,4,n,28589,0.95
1346,folk,4,n,28698,0.94
1347,order,5,v,27950,0.97
1348,principle,9,n,30011,0.9
1349,survive,7,v,27682,0.98
1350,lift,4,v,29354,0.92
1351,border,6,n,28636,0.94
1352,competition,11,n,28752,0.93
1353,jump,4,v,28504,0.94
1354,gather,6,v,27659,0.97
1355,limit,5,v,28901,0.93
1356,fit,3,v,27875,0.96
1357,claim,5,n,28609,0.94
1358,cry,3,v,29690,0.9
1359,equipment,9,n,28023,0.95
1360,worth,5,i,27687,0.97
1361,associate,9,v,30406,0.88
1362,critic,6,n,28244,0.94
1363,warm,4,j,28600,0.93
1364,aspect,6,n,29460,0.9
1365,result,6,v,29515,0.9
1366,insist,6,v,27205,0.97
1367,failure,7,n,28234,0.94
1368,annual,6,j,28471,0.93
1369,French,6,j,27590,0.96
1370,Christmas,9,n,28046,0.94
1371,comment,7,n,27712,0.95
1372,responsible,11,j,27569,0.96
1373,affair,6,n,27432,0.96
1374,approach,8,v,27449,0.96
1375,until,5,i,27007,0.97
1376,procedure,9,n,29044,0.9
1377,regular,7,j,27244,0.96
1378,spread,6,v,27266,0.96
1379,chairman,8,n,28560,0.92
1380,baseball,8,n,28551,0.92
1381,soft,4,j,27970,0.94
1382,ignore,6,v,27023,0.97
1383,egg,3,n,27917,0.94
1384,measure,7,v,28612,0.91
1385,belief,6,n,28844,0.91
1386,demonstrate,11,v,29170,0.9
1387,anybody,7,p,28704,0.91
1388,murder,6,n,28335,0.92
1389,gift,4,n,27050,0.96
1390,religion,8,n,28220,0.92
1391,review,6,n,28141,0.93
1392,editor,6,n,27734,0.94
1393,past,4,i,28278,0.92
1394,engage,6,v,28194,0.92
1395,coffee,6,n,28331,0.92
1396,document,8,n,29437,0.88
1397,speed,5,n,27740,0.93
1398,cross,5,v,27524,0.94
1399,influence,9,n,28387,0.91
1400,anyway,6,r,28170,0.92
1401,threaten,8,v,26587,0.97
1402,commit,6,v,26943,0.96
1403,female,6,j,27952,0.92
1404,youth,5,n,27755,0.93
1405,wave,4,n,26844,0.96
1406,move,4,n,26717,0.96
1407,afraid,6,j,27727,0.93
1408,quarter,7,n,27125,0.95
1409,background,10,n,26907,0.96
1410,native,6,j,28026,0.92
1411,broad,5,j,27191,0.94
1412,wonderful,9,j,27494,0.93
1413,deny,4,v,26675,0.96
1414,apparently,10,r,26513,0.97
1415,slightly,8,r,26887,0.95
1416,reaction,8,n,26771,0.96
1417,twice,5,r,26450,0.97
1418,suit,4,n,27066,0.95
1419,perspective,11,n,28324,0.9
1420,growing,7,j,26858,0.95
1421,blow,4,v,27254,0.94
1422,construction,12,n,27114,0.94
1423,kind,4,r,29474,0.86
1424,intelligence,12,n,27555,0.92
1425,destroy,7,v,26177,0.97
1426,cook,4,v,27725,0.91
1427,connection,10,n,26552,0.95
1428,charge,6,v,26432,0.96
1429,burn,4,v,26646,0.95
1430,shoe,4,n,26945,0.94
1431,view,4,v,27258,0.92
1432,grade,5,n,27178,0.92
1433,context,7,n,29113,0.86
1434,committee,9,n,26697,0.94
1435,hey,3,u,27659,0.91
1436,mistake,7,n,26080,0.96
1437,focus,5,n,26815,0.93
1438,smile,5,n,28698,0.87
1439,location,8,n,26463,0.94
1440,clothes,7,n,27033,0.92
1441,Indian,6,j,27100,0.92
1442,quiet,5,j,26732,0.93
1443,dress,5,v,26669,0.93
1444,promise,7,v,25720,0.97
1445,aware,5,j,25503,0.97
1446,neighbor,8,n,25497,0.97
1447,complete,8,j,25699,0.97
1448,drive,5,n,26373,0.94
1449,function,8,n,28011,0.88
1450,bone,4,n,26282,0.94
1451,active,6,j,26507,0.93
1452,extend,6,v,25969,0.95
1453,chief,5,j,26456,0.93
1454,average,7,n,26568,0.93
1455,combine,7,v,26570,0.93
1456,wine,4,n,26682,0.92
1457,below,5,r,26765,0.92
1458,cool,4,j,26279,0.94
1459,voter,5,n,27768,0.89
1460,mean,4,n,28991,0.85
1461,demand,6,v,25207,0.97
1462,learning,8,n,28869,0.85
1463,bus,3,n,25850,0.95
1464,hell,4,n,27278,0.9
1465,dangerous,9,j,25170,0.97
1466,remind,6,v,25525,0.96
1467,moral,5,j,26980,0.91
1468,United,6,j,26396,0.93
1469,category,8,n,27219,0.9
1470,relatively,10,r,26476,0.92
1471,victory,7,n,26422,0.92
1472,key,3,n,25436,0.96
1473,academic,8,j,28216,0.86
1474,visit,5,n,25000,0.97
1475,Internet,8,n,26983,0.9
1476,healthy,7,j,26009,0.94
1477,fire,4,v,25390,0.96
1478,negative,8,j,26847,0.9
1479,following,9,j,26643,0.91
1480,historical,10,j,27266,0.89
1481,medicine,8,n,25511,0.95
1482,tour,4,n,25781,0.94
1483,depend,6,v,25405,0.95
1484,photo,5,n,25492,0.94
1485,finding,7,n,28246,0.85
1486,grab,4,v,26951,0.89
1487,direct,6,j,26008,0.92
1488,classroom,9,n,27531,0.87
1489,contact,7,n,25218,0.95
1490,justice,7,n,25377,0.95
1491,participate,11,v,26500,0.91
1492,daily,5,j,25179,0.95
1493,fair,4,j,25064,0.96
1494,pair,4,n,25289,0.95
1495,famous,6,j,24631,0.97
1496,exercise,8,n,25934,0.92
1497,knee,4,n,25912,0.92
1498,flower,6,n,25642,0.93
1499,tape,4,n,25730,0.93
1500,hire,4,v,25073,0.95
1501,familiar,8,j,24515,0.97
1502,appropriate,11,j,26237,0.91
1503,supply,6,n,24920,0.96
1504,fully,5,r,24842,0.96
1505,cut,3,n,25327,0.94
1506,will,4,n,24351,0.98
1507,actor,5,n,24848,0.96
1508,birth,5,n,24515,0.97
1509,search,6,n,27087,0.87
1510,tie,3,v,24408,0.97
1511,democracy,9,n,26039,0.91
1512,eastern,7,j,25103,0.94
1513,primary,7,j,26043,0.9
1514,yesterday,9,r,26215,0.9
1515,circle,6,n,24735,0.95
1516,device,6,n,24918,0.94
1517,progress,8,n,24645,0.95
1518,next,4,i,25720,0.91
1519,front,5,n,24402,0.96
1520,bottom,6,n,24653,0.95
1521,island,6,n,24311,0.96
1522,exchange,8,n,24826,0.94
1523,clean,5,j,24325,0.96
1524,studio,6,n,24765,0.94
1525,train,5,v,23990,0.97
1526,lady,4,n,25436,0.92
1527,colleague,9,n,24370,0.95
1528,application,11,n,25735,0.9
1529,neck,4,n,25716,0.9
1530,lean,4,v,26896,0.86
1531,damage,6,n,24155,0.96
1532,plastic,7,n,24563,0.94
1533,tall,4,j,25304,0.92
1534,plate,5,n,24592,0.94
1535,hate,4,v,24921,0.93
1536,otherwise,9,r,23793,0.97
1537,writing,7,n,24995,0.92
1538,press,5,v,24716,0.93
1539,male,4,j,24873,0.93
1540,start,5,n,24071,0.96
1541,alive,5,j,24184,0.95
1542,expression,10,n,24748,0.93
1543,football,8,n,25271,0.91
1544,intend,6,v,23554,0.97
1545,attack,6,v,23971,0.95
1546,chicken,7,n,24465,0.93
1547,army,4,n,23929,0.95
1548,abuse,5,n,24534,0.93
1549,theater,7,n,24447,0.93
1550,shut,4,v,24773,0.92
1551,map,3,n,23666,0.96
1552,extra,5,j,24006,0.95
1553,session,7,n,24010,0.95
1554,danger,6,n,23244,0.97
1555,welcome,7,v,25241,0.9
1556,domestic,8,j,24313,0.93
1557,lots,4,p,23750,0.95
1558,literature,10,n,26254,0.86
1559,rain,4,n,24134,0.93
1560,desire,6,n,23994,0.94
1561,assessment,10,n,26318,0.85
1562,injury,6,n,23935,0.94
1563,respect,7,n,23274,0.96
1564,northern,8,j,23783,0.94
1565,nod,3,v,27283,0.82
1566,paint,5,v,24038,0.93
1567,fuel,4,n,23934,0.94
1568,leaf,4,n,24044,0.93
1569,direct,6,v,23298,0.96
1570,dry,3,j,23809,0.94
1571,Russian,7,j,23739,0.94
1572,instruction,11,n,25190,0.89
1573,fight,5,n,23211,0.96
1574,pool,4,n,23346,0.96
1575,climb,5,v,24367,0.92
1576,sweet,5,j,23843,0.94
1577,lead,4,n,23301,0.96
1578,engine,6,n,23617,0.94
1579,fourth,6,m,23227,0.96
1580,salt,4,n,24711,0.9
1581,expand,6,v,23417,0.94
1582,importance,10,n,24946,0.89
1583,metal,5,n,23317,0.95
1584,fat,3,n,24844,0.89
1585,ticket,6,n,23902,0.92
1586,software,8,n,23954,0.92
1587,disappear,9,v,23389,0.94
1588,corporate,9,j,23621,0.93
1589,strange,7,j,23744,0.93
1590,lip,3,n,25250,0.87
1591,reading,7,n,23919,0.92
1592,urban,5,j,23889,0.92
1593,mental,6,j,23650,0.93
1594,increasingly,12,r,23529,0.93
1595,lunch,5,n,23220,0.94
1596,educational,11,j,25282,0.87
1597,somewhere,9,r,23527,0.93
1598,farmer,6,n,23005,0.95
1599,above,5,r,23866,0.92
1600,sugar,5,n,24310,0.9
1601,planet,6,n,23567,0.93
1602,favorite,8,j,23159,0.94
1603,explore,7,v,23744,0.92
1604,obtain,6,v,24538,0.89
1605,enemy,5,n,22621,0.97
1606,greatest,8,j,22673,0.96
1607,complex,7,j,23751,0.92
1608,surround,8,v,22391,0.97
1609,athlete,7,n,23868,0.91
1610,invite,6,v,22158,0.98
1611,repeat,6,v,22622,0.96
1612,carefully,9,r,22837,0.95
1613,soul,4,n,22713,0.96
1614,scientific,10,j,23691,0.92
1615,impossible,10,j,22233,0.98
1616,panel,5,n,22529,0.96
1617,meaning,7,n,24064,0.9
1618,mom,3,n,23450,0.92
1619,married,7,j,22352,0.97
1620,alone,5,j,23106,0.93
1621,instrument,10,n,23831,0.91
1622,predict,7,v,22942,0.94
1623,weather,7,n,22586,0.95
1624,presidential,12,j,24057,0.89
1625,emotional,9,j,22773,0.94
1626,commitment,10,n,23152,0.93
1627,Supreme,7,j,23904,0.9
1628,bear,4,v,22190,0.97
1629,pocket,6,n,23580,0.91
1630,thin,4,j,23194,0.92
1631,temperature,11,n,23111,0.93
1632,surprise,8,n,22275,0.96
1633,poll,4,n,24009,0.89
1634,proposal,8,n,22830,0.94
1635,consequence,11,n,23307,0.92
1636,half,4,n,22029,0.97
1637,breath,6,n,24668,0.87
1638,sight,5,n,22878,0.93
1639,cover,5,n,22301,0.96
1640,balance,7,n,22243,0.96
1641,adopt,5,v,22880,0.93
1642,minority,8,n,23167,0.92
1643,straight,8,r,22929,0.93
1644,attempt,7,v,22758,0.93
1645,connect,7,v,22100,0.96
1646,works,5,n,22722,0.93
1647,teaching,8,n,24387,0.87
1648,belong,6,v,21856,0.97
1649,aid,3,n,22642,0.93
1650,advice,6,n,21970,0.96
1651,okay,4,r,24243,0.87
1652,photograph,10,n,22016,0.96
1653,empty,5,j,23365,0.9
1654,regional,8,j,23182,0.91
1655,trail,5,n,23030,0.91
1656,novel,5,n,22392,0.94
1657,code,4,n,22015,0.95
1658,somehow,7,r,22267,0.94
1659,organize,8,v,22389,0.94
1660,jury,4,n,24072,0.87
1661,breast,6,n,22362,0.94
1662,Iraqi,5,j,25446,0.82
1663,human,5,n,22022,0.95
1664,acknowledge,11,v,21983,0.95
1665,theme,5,n,22494,0.93
1666,storm,5,n,22562,0.93
1667,union,5,n,22380,0.93
1668,record,6,v,21939,0.95
1669,desk,4,n,23455,0.89
1670,fear,4,v,21333,0.98
1671,thanks,6,n,23061,0.9
1672,fruit,5,n,22401,0.93
1673,under,5,r,21521,0.97
1674,expensive,9,j,21706,0.96
1675,yellow,6,j,22452,0.93
1676,conclusion,10,n,23034,0.9
1677,prime,5,j,22075,0.94
1678,shadow,6,n,22803,0.91
1679,struggle,8,v,21370,0.97
1680,conclude,8,v,22247,0.93
1681,analyst,7,n,22662,0.91
1682,dance,5,n,21799,0.95
1683,limit,5,n,21714,0.95
1684,like,4,j,21723,0.95
1685,regulation,10,n,22479,0.92
1686,being,5,n,21695,0.95
1687,last,4,v,21219,0.97
1688,ring,4,n,21873,0.94
1689,largely,7,r,22097,0.93
1690,shift,5,v,21323,0.96
1691,revenue,7,n,22445,0.92
1692,mark,4,v,21236,0.97
1693,locate,6,v,21843,0.94
1694,county,6,n,22675,0.9
1695,appearance,10,n,21146,0.97
1696,package,7,n,21665,0.95
1697,difficulty,10,n,22288,0.92
1698,bridge,6,n,21497,0.95
1699,recommend,9,v,21707,0.94
1700,obvious,7,j,21052,0.97
1701,train,5,n,21766,0.94
1702,basically,9,r,23265,0.88
1703,e-mail,6,n,22467,0.91
1704,generate,8,v,22213,0.92
1705,anymore,7,r,21771,0.94
1706,propose,7,v,21691,0.94
1707,thinking,8,n,21663,0.94
1708,possibly,8,r,20953,0.97
1709,trend,5,n,21894,0.93
1710,visitor,7,n,21490,0.95
1711,loan,4,n,22324,0.91
1712,currently,9,r,21636,0.94
1713,comfortable,11,j,21101,0.96
1714,investor,8,n,22410,0.91
1715,but,3,i,20961,0.97
1716,profit,6,n,21754,0.93
1717,angry,5,j,21485,0.94
1718,crew,4,n,21238,0.95
